Task_cnt	Time(us)		Latency(us)
1		1042442.63		92.50
2		1042512.01		69.27
3		1042580.14		68.12
4		1042862.40		282.24
5		1042931.99		69.58
6		1043001.10		69.10
7		1043071.16		70.05
8		1043138.00		66.83
9		1043207.15		69.14
10		1043276.30		69.13
11		1043345.00		68.68
12		1043414.68		69.67
13		1043484.01		69.32
14		1043553.45		69.43
15		1043623.05		69.59
16		1043692.16		69.10
17		1043760.81		68.63
18		1043829.98		69.15
19		1043908.40		78.41
20		1043978.42		70.01
21		1044047.60		69.17
22		1044117.03		69.42
23		1044184.35		67.31
24		1044253.99		69.62
25		1044322.70		68.70
26		1044392.35		69.64
27		1044461.42		69.05
28		1044530.35		68.92
29		1044599.23		68.87
30		1044667.80		68.56
31		1044736.91		69.09
32		1044805.05		68.13
33		1044874.13		69.06
34		1044942.42		68.28
35		1045011.27		68.83
36		1045080.18		68.90
37		1045148.98		68.79
38		1045217.92		68.93
39		1045286.90		68.97
40		1045356.18		69.27
41		1045425.10		68.90
42		1045494.04		68.93
43		1045562.92		68.86
44		1045631.82		68.89
45		1045700.96		69.13
46		1045770.03		69.05
47		1045839.44		69.39
48		1045908.81		69.36
49		1045977.76		68.94
50		1046043.58		65.81
51		1046111.51		67.92
52		1046180.38		68.85
53		1046248.73		68.34
54		1046316.11		67.37
55		1046382.47		66.35
56		1046449.30		66.81
57		1046518.27		68.96
58		1046586.47		68.18
59		1046655.67		69.18
60		1046724.84		69.17
61		1046794.65		69.79
62		1046863.07		68.40
63		1046933.01		69.93
64		1047002.31		69.29
65		1047069.97		67.65
66		1047136.15		66.17
67		1047201.71		65.55
68		1047269.43		67.70
69		1047336.58		67.14
70		1047405.75		69.16
71		1047475.10		69.34
72		1047543.01		67.90
73		1047610.44		67.41
74		1047677.08		66.64
75		1047746.22		69.12
76		1047815.74		69.51
77		1047897.39		81.63
78		1047967.51		70.10
79		1048036.77		69.25
80		1048106.03		69.25
81		1048174.26		68.21
82		1048243.54		69.27
83		1048312.32		68.76
84		1048381.52		69.19
85		1048448.40		66.86
86		1048518.10		69.69
87		1048587.67		69.56
88		1048653.85		66.16
89		1048722.09		68.22
90		1048790.29		68.19
91		1048859.54		69.24
92		1048928.81		69.25
93		1048998.00		69.18
94		1049067.29		69.27
95		1049136.50		69.20
96		1049205.73		69.22
97		1049275.18		69.43
98		1049344.71		69.52
99		1049413.84		69.12
100		1049483.04		69.18
101		1049552.34		69.28
102		1049621.53		69.18
103		1049690.82		69.27
104		1049759.89		69.05
105		1049829.32		69.42
106		1049899.06		69.72
107		1049967.87		68.80
108		1050037.11		69.22
109		1050106.31		69.19
110		1050175.53		69.21
111		1050244.76		69.22
112		1050313.20		68.43
113		1050382.64		69.42
114		1050451.91		69.27
115		1050521.19		69.26
116		1050589.41		68.20
117		1050658.13		68.71
118		1050727.69		69.54
119		1050797.19		69.49
120		1050863.83		66.62
121		1050932.06		68.22
122		1051001.32		69.24
123		1051070.28		68.95
124		1051139.92		69.62
125		1051209.13		69.20
126		1051278.35		69.21
127		1051347.63		69.26
128		1051416.80		69.16
129		1051485.58		68.76
130		1051555.00		69.40
131		1051624.81		69.80
132		1051693.82		69.00
133		1051762.92		69.09
134		1051831.67		68.73
135		1051913.18		81.49
136		1051983.44		70.25
137		1052052.91		69.45
138		1052121.61		68.69
139		1052190.89		69.27
140		1052259.71		68.80
141		1052328.89		69.17
142		1052398.11		69.21
143		1052467.33		69.20
144		1052536.50		69.16
145		1052605.79		69.27
146		1052674.93		69.13
147		1052744.13		69.18
148		1052812.87		68.73
149		1052882.10		69.22
150		1052951.23		69.11
151		1053020.48		69.24
152		1053089.27		68.77
153		1053158.52		69.24
154		1053226.20		67.66
155		1053295.17		68.96
156		1053364.87		69.68
157		1053433.91		69.03
158		1053500.59		66.67
159		1053569.74		69.13
160		1053638.93		69.17
161		1053708.30		69.36
162		1053776.53		68.22
163		1053845.35		68.81
164		1053914.47		69.10
165		1053983.21		68.73
166		1054050.92		67.69
167		1054120.70		69.76
168		1054189.52		68.81
169		1054257.67		68.14
170		1054325.94		68.26
171		1054395.15		69.19
172		1054464.33		69.17
173		1054533.14		68.79
174		1054602.40		69.26
175		1054671.60		69.18
176		1054740.77		69.15
177		1054810.00		69.22
178		1054879.52		69.50
179		1054948.98		69.45
180		1055018.19		69.20
181		1055087.44		69.23
182		1055156.66		69.21
183		1055225.91		69.23
184		1055295.13		69.21
185		1055364.40		69.25
186		1055432.11		67.70
187		1055501.92		69.79
188		1055570.65		68.73
189		1055641.34		70.67
190		1055710.55		69.20
191		1055779.30		68.73
192		1055848.43		69.12
193		1055917.58		69.13
194		1055987.27		69.68
195		1056056.51		69.23
196		1056125.17		68.65
197		1056194.42		69.23
198		1056263.09		68.66
199		1056332.37		69.26
200		1056401.77		69.39
201		1056471.59		69.80
202		1056541.04		69.44
203		1056610.32		69.27
204		1056679.50		69.17
205		1056748.74		69.22
206		1056817.91		69.16
207		1056887.12		69.19
208		1056954.76		67.63
209		1057023.58		68.81
210		1057092.26		68.66
211		1057161.50		69.23
212		1057229.23		67.71
213		1057298.00		68.76
214		1057367.15		69.13
215		1057436.42		69.26
216		1057505.67		69.24
217		1057574.90		69.21
218		1057644.22		69.30
219		1057712.18		67.95
220		1057779.47		67.28
221		1057848.84		69.35
222		1057918.05		69.20
223		1057987.23		69.17
224		1058056.45		69.20
225		1058125.78		69.31
226		1058195.41		69.61
227		1058264.66		69.24
228		1058333.95		69.28
229		1058402.63		68.67
230		1058471.80		69.15
231		1058540.95		69.14
232		1058610.75		69.78
233		1058680.02		69.26
234		1058749.30		69.26
235		1058817.52		68.21
236		1058884.72		67.19
237		1058953.11		68.38
238		1059022.62		69.50
239		1059091.31		68.68
240		1059160.53		69.20
241		1059228.70		68.16
242		1059297.05		68.35
243		1059365.21		68.14
244		1059431.32		66.09
245		1059497.05		65.72
246		1059565.29		68.22
247		1059632.99		67.69
248		1059699.20		66.20
249		1059767.52		68.30
250		1059836.24		68.70
251		1059901.82		65.57
252		1059969.17		67.33
253		1060037.55		68.37
254		1060106.97		69.40
255		1060176.52		69.54
256		1060244.96		68.43
257		1060313.88		68.90
258		1060382.84		68.95
259		1060452.80		69.95
260		1060520.70		67.89
261		1060590.12		69.40
262		1060658.49		68.36
263		1060725.60		67.09
264		1060795.66		70.05
265		1060864.76		69.09
266		1060933.11		68.34
267		1061002.57		69.45
268		1061072.11		69.52
269		1061139.33		67.21
270		1061209.07		69.72
271		1061277.26		68.17
272		1061346.77		69.50
273		1061415.65		68.87
274		1061484.14		68.48
275		1061550.33		66.18
276		1061619.77		69.42
277		1061688.17		68.39
278		1061755.89		67.71
279		1061826.08		70.18
280		1061895.05		68.96
281		1061961.83		66.76
282		1062031.25		69.41
283		1062099.64		68.37
284		1062169.60		69.95
285		1062239.37		69.76
286		1062309.16		69.77
287		1062374.83		65.65
288		1062442.70		67.86
289		1062512.93		70.22
290		1062582.86		69.91
291		1062652.62		69.75
292		1062722.00		69.37
293		1062791.49		69.48
294		1062860.95		69.45
295		1062930.36		69.40
296		1062999.97		69.59
297		1063069.94		69.96
298		1063139.59		69.64
299		1063209.08		69.47
300		1063278.46		69.37
301		1063348.05		69.58
302		1063417.44		69.38
303		1063486.11		68.65
304		1063555.58		69.46
305		1063623.47		67.88
306		1063693.42		69.94
307		1063762.77		69.34
308		1063832.79		70.01
309		1063902.65		69.85
310		1063972.45		69.78
311		1064042.36		69.91
312		1064112.07		69.69
313		1064181.54		69.45
314		1064250.96		69.41
315		1064320.55		69.57
316		1064389.42		68.86
317		1064459.02		69.59
318		1064528.36		69.33
319		1064597.87		69.49
320		1064667.22		69.34
321		1064737.00		69.76
322		1064807.55		70.54
323		1064876.17		68.60
324		1064943.48		67.29
325		1065010.85		67.36
326		1065078.69		67.82
327		1065147.03		68.33
328		1065213.10		66.06
329		1065280.80		67.68
330		1065348.17		67.35
331		1065417.14		68.96
332		1065484.06		66.90
333		1065553.47		69.40
334		1065620.85		67.37
335		1065690.34		69.47
336		1065758.21		67.87
337		1065827.62		69.39
338		1065895.27		67.64
339		1065964.48		69.20
340		1066033.39		68.89
341		1066103.14		69.74
342		1066173.08		69.93
343		1066243.61		70.51
344		1066313.58		69.96
345		1066383.26		69.66
346		1066452.66		69.39
347		1066522.11		69.43
348		1066591.57		69.45
349		1066661.58		70.00
350		1066731.07		69.47
351		1066800.63		69.55
352		1066869.91		69.27
353		1066939.39		69.47
354		1067008.49		69.09
355		1067077.92		69.41
356		1067147.64		69.71
357		1067217.03		69.37
358		1067286.49		69.44
359		1067353.32		66.82
360		1067422.75		69.41
361		1067492.36		69.60
362		1067561.81		69.43
363		1067630.66		68.84
364		1067700.06		69.39
365		1067769.56		69.49
366		1067847.71		78.13
367		1067917.69		69.97
368		1067986.95		69.24
369		1068056.69		69.72
370		1068125.14		68.44
371		1068195.09		69.94
372		1068264.83		69.72
373		1068335.34		70.50
374		1068405.24		69.89
375		1068474.94		69.69
376		1068544.25		69.29
377		1068614.23		69.97
378		1068682.61		68.37
379		1068752.19		69.57
380		1068821.50		69.30
381		1068891.50		69.99
382		1068961.46		69.94
383		1069030.96		69.49
384		1069100.16		69.18
385		1069170.11		69.94
386		1069240.65		70.52
387		1069310.50		69.83
388		1069380.33		69.82
389		1069449.27		68.93
390		1069518.68		69.40
391		1069588.09		69.39
392		1069657.53		69.43
393		1069726.97		69.43
394		1069796.42		69.44
395		1069865.84		69.41
396		1069935.31		69.45
397		1070003.71		68.38
398		1070072.08		68.36
399		1070139.98		67.88
400		1070209.46		69.47
401		1070276.87		67.40
402		1070346.34		69.46
403		1070415.88		69.53
404		1070485.27		69.38
405		1070555.26		69.97
406		1070624.94		69.67
407		1070694.20		69.25
408		1070763.70		69.49
409		1070833.23		69.52
410		1070903.21		69.96
411		1070973.06		69.83
412		1071042.26		69.19
413		1071113.00		70.73
414		1071182.61		69.60
415		1071251.14		68.51
416		1071320.07		68.92
417		1071390.11		70.03
418		1071459.28		69.15
419		1071527.44		68.15
420		1071593.46		66.01
421		1071662.99		69.52
422		1071732.71		69.70
423		1071802.18		69.45
424		1071875.39		73.20
425		1071944.78		69.38
426		1072014.50		69.71
427		1072084.47		69.95
428		1072153.83		69.35
429		1072223.31		69.47
430		1072292.77		69.44
431		1072362.50		69.72
432		1072432.44		69.93
433		1072502.23		69.77
434		1072571.54		69.30
435		1072641.07		69.52
436		1072710.60		69.51
437		1072779.51		68.90
438		1072848.43		68.90
439		1072918.39		69.95
440		1072987.85		69.45
441		1073057.23		69.37
442		1073127.42		70.18
443		1073196.85		69.41
444		1073266.56		69.70
445		1073339.13		72.56
446		1073408.58		69.43
447		1073478.30		69.70
448		1073548.06		69.75
449		1073617.95		69.87
450		1073687.39		69.43
451		1073756.79		69.38
452		1073826.33		69.53
453		1073895.75		69.40
454		1073965.39		69.62
455		1074035.19		69.79
456		1074104.66		69.46
457		1074174.16		69.49
458		1074243.52		69.35
459		1074312.94		69.40
460		1074382.39		69.44
461		1074451.90		69.49
462		1074521.35		69.44
463		1074591.24		69.87
464		1074660.73		69.48
465		1074730.29		69.55
466		1074798.58		68.27
467		1074867.97		69.37
468		1074937.77		69.79
469		1075008.28		70.50
470		1075076.47		68.17
471		1075145.90		69.42
472		1075215.32		69.40
473		1075284.78		69.45
474		1075353.70		68.90
